word,freq
bloom,439
stephen,151
zoe,105
o,97
hand,92
one,83
no,82
mrs,75
man,66
head,65
old,61
back,60
lynch,58
two,55
watch,54
eyes,53
hands,50
left,49
private,49
face,47
hat,43
voice,43
night,42
black,42
right,42
like,42
white,41
good,41
florry,41
bello,41
round,39
first,39
little,39
see,39
know,39
behind,37
woman,37
time,36
yes,36
kitty,36
love,35
us,35
bella,35
street,32
long,32
three,32
come,31
god,31
give,31
mother,30
virag,30
carr,29
say,29
forward,29
eye,29
second,29
begat,29
go,28
father,27
high,27
arms,27
red,26
hair,26
stands,26
points,26
green,25
mr,25
let,25
john,25
sir,25
slowly,24
appears,24
ten,24
get,24
breen,24
