TBD,punctuation,TBD1,avgWordLen,numLetters,numwords,dialogue
0.0,3.0,0.0,4.409090909090909,97.0,22.0,0.0
0.0,3.0,0.0,5.285714285714286,74.0,14.0,0.0
0.0,2.0,0.0,4.363636363636363,48.0,11.0,1.0
0.0,4.0,0.0,4.666666666666667,70.0,15.0,1.0
0.0,2.0,0.0,4.4,22.0,5.0,0.0
0.0,1.0,0.0,5.111111111111111,46.0,9.0,0.0
0.0,2.0,0.0,5.1875,83.0,16.0,0.0
0.0,4.0,0.0,4.48,112.0,25.0,0.0
0.0,6.0,0.0,4.634146341463414,190.0,41.0,0.0
0.0,1.0,0.0,4.928571428571429,69.0,14.0,0.0
0.0,1.0,0.0,5.0,15.0,3.0,1.0
0.0,1.0,0.0,4.333333333333333,13.0,3.0,0.0
0.0,6.0,0.0,4.0,92.0,23.0,1.0
0.0,2.0,0.0,5.0,15.0,3.0,0.0
0.0,2.0,0.0,4.25,17.0,4.0,0.0
0.0,1.0,0.0,4.5,9.0,2.0,0.0
0.0,1.0,0.0,5.571428571428571,39.0,7.0,0.0
0.0,2.0,0.0,5.0,10.0,2.0,0.0
0.0,3.0,0.0,4.517241379310345,131.0,29.0,0.0
0.0,1.0,0.0,12.0,12.0,1.0,0.0
0.0,1.0,0.0,5.625,45.0,8.0,0.0
0.0,3.0,0.0,4.666666666666667,28.0,6.0,1.0
0.0,1.0,0.0,4.0,16.0,4.0,0.0
0.0,2.0,0.0,4.333333333333333,26.0,6.0,0.0
0.0,2.0,0.0,4.428571428571429,93.0,21.0,0.0
0.0,2.0,0.0,4.444444444444445,80.0,18.0,0.0
0.0,1.0,0.0,4.625,37.0,8.0,0.0
0.0,1.0,0.0,3.75,15.0,4.0,1.0
0.0,1.0,0.0,3.6666666666666665,11.0,3.0,0.0
0.0,2.0,0.0,4.666666666666667,28.0,6.0,0.0
0.0,2.0,0.0,4.5,72.0,16.0,0.0
0.0,4.0,0.0,4.461538461538462,174.0,39.0,0.0
0.0,2.0,0.0,3.857142857142857,27.0,7.0,0.0
0.0,3.0,0.0,4.777777777777778,43.0,9.0,1.0
0.0,3.0,0.0,3.111111111111111,28.0,9.0,0.0
0.0,1.0,0.0,4.857142857142857,34.0,7.0,0.0
0.0,1.0,0.0,3.2,16.0,5.0,0.0
0.0,1.0,0.0,3.2857142857142856,46.0,14.0,0.0
0.0,4.0,0.0,4.384615384615385,57.0,13.0,1.0
0.0,1.0,0.0,5.0,15.0,3.0,0.0
0.0,2.0,0.0,4.142857142857143,29.0,7.0,0.0
0.0,3.0,0.0,5.5,33.0,6.0,1.0
0.0,2.0,0.0,3.3333333333333335,10.0,3.0,1.0
0.0,1.0,0.0,3.8,38.0,10.0,1.0
0.0,1.0,0.0,5.0,50.0,10.0,0.0
0.0,3.0,0.0,3.6,18.0,5.0,1.0
0.0,1.0,0.0,4.333333333333333,13.0,3.0,0.0
0.0,1.0,0.0,5.0,15.0,3.0,0.0
0.0,2.0,0.0,3.7142857142857144,26.0,7.0,0.0
0.0,2.0,0.0,5.25,21.0,4.0,0.0
0.0,1.0,0.0,6.2,31.0,5.0,0.0
0.0,1.0,0.0,4.8,24.0,5.0,0.0
0.0,3.0,0.0,4.444444444444445,40.0,9.0,0.0
0.0,2.0,0.0,2.6666666666666665,16.0,6.0,0.0
0.0,4.0,0.0,3.727272727272727,41.0,11.0,0.0
0.0,1.0,0.0,4.166666666666667,25.0,6.0,0.0
0.0,2.0,0.0,4.454545454545454,49.0,11.0,1.0
0.0,1.0,0.0,4.25,17.0,4.0,0.0
0.0,1.0,0.0,4.666666666666667,14.0,3.0,1.0
0.0,1.0,0.0,6.0,12.0,2.0,0.0
0.0,1.0,0.0,2.8,14.0,5.0,0.0
0.0,2.0,0.0,4.444444444444445,40.0,9.0,1.0
0.0,2.0,0.0,3.8181818181818183,84.0,22.0,0.0
0.0,1.0,0.0,4.6,23.0,5.0,0.0
